순위,단지명,자치구,총 임대 세대수,최초입주,전용면적 (㎡),총모집,예비자모집,계산값,보정값,주소
1,강동밀레니얼 중흥S-클래스 (천호1),강동구,117,2024,47,30,30,23,20,강동구 강동밀레니얼 중흥S-클래스 (천호1)
2,힐스테이트 클래시안 (신길9구역),영등포구,266,2020,39,5,5,22,19,영등포구 힐스테이트 클래시안 (신길9구역)
3,DMC SK뷰 아이파크포레 (수색13),은평구,226,2023,39,42,12,22,19,은평구 DMC SK뷰 아이파크포레 (수색13)
4,서울역 센트럴자이 (만리2구역),중구,228,2017,39,5,5,21,19,중구 서울역 센트럴자이 (만리2구역)
5,DMC파인시티자이 (수색6),은평구,208,2023,39,35,15,21,19,은평구 DMC파인시티자이 (수색6)
6,DMC래미안e편한세상 (가재울뉴타운3),서대문구,629,2012,39,23,13,20,18,서대문구 DMC래미안e편한세상 (가재울뉴타운3)
7,롯데캐슬 트윈골드 (길음역세권),성북구,65,2024,39,20,20,19,18,성북구 롯데캐슬 트윈골드 (길음역세권)
8,브라운스톤휘경 (휘경4),동대문구,78,2012,39,5,5,18,17,동대문구 브라운스톤휘경 (휘경4)
9,목동센트럴아이파크위브 (신정1-1구역),양천구,355,2020,34,17,12,18,17,양천구 목동센트럴아이파크위브 (신정1-1구역)
10,왕십리텐즈힐2 (왕십리뉴타운2),성동구,211,2014,36,5,5,18,17,성동구 왕십리텐즈힐2 (왕십리뉴타운2)
11,신정제4구역,양천구,185,2016,36,8,8,18,17,양천구 신정제4구역
12,e편한세상 서울대입구,관악구,294,2019,30,6,4,16,17,관악구 e편한세상 서울대입구
13,북한산힐스테이트 (불광7),은평구,188,2011,37,10,10,16,16,은평구 북한산힐스테이트 (불광7)
14,신정뉴타운롯데캐슬 (신정1-4),양천구,160,2014,36,12,12,16,16,양천구 신정뉴타운롯데캐슬 (신정1-4)
15,북한산래미안 (불광6),은평구,135,2010,37,16,14,15,15,은평구 북한산래미안 (불광6)
16,보문3구역 (보문파크뷰자이),성북구,208,2017,29,6,3,14,15,성북구 보문3구역 (보문파크뷰자이)
17,상도SH-ville,동작구,953,2006,32,50,15,14,14,동작구 상도SH-ville
18,황학롯데캐슬 (황학),중구,336,2008,33,5,5,14,15,중구 황학롯데캐슬 (황학)
19,e편한세상 (보문4),성북구,79,2014,31,6,3,14,14,성북구 e편한세상 (보문4)
20,길음뉴타운8단지 (길음8),성북구,120,2010,33,9,6,14,14,성북구 길음뉴타운8단지 (길음8)
21,길음뉴타운9단지 (정릉길음9),성북구,242,2010,33,10,10,13,14,성북구 길음뉴타운9단지 (정릉길음9)
22,상도신동아 (상도1),동작구,925,2000,32,17,10,13,13,동작구 상도신동아 (상도1)
23,길음뉴타운7단지 (길음7),성북구,99,2010,32,5,5,13,13,성북구 길음뉴타운7단지 (길음7)
24,백련산힐스테이트3차 (응암9),은평구,219,2012,32,12,12,13,13,은평구 백련산힐스테이트3차 (응암9)
25,래미안종암3차 (종암5),성북구,188,2010,31,12,6,13,13,성북구 래미안종암3차 (종암5)
26,관악푸르지오 (봉천7-2),관악구,392,2004,32,7,5,12,13,관악구 관악푸르지오 (봉천7-2)
27,SK북한산시티 (미아1-1),강북구,1497,2001,32,60,30,12,13,강북구 SK북한산시티 (미아1-1)
28,아크로타워스퀘어 (영등포1-4구역),영등포구,200,2017,26,6,3,12,13,영등포구 아크로타워스퀘어 (영등포1-4구역)
29,관악벽산블루밍,관악구,799,2003,32,30,15,12,12,관악구 관악벽산블루밍
30,관악드림타운 (봉천3),관악구,1843,2001,32,50,40,12,12,관악구 관악드림타운 (봉천3)
31,백련산힐스테이트2차 (응암8),은평구,255,2012,31,14,14,12,12,은평구 백련산힐스테이트2차 (응암8)
32,본동한신휴플러스 (본동2-3),동작구,134,2004,32,5,3,11,11,동작구 본동한신휴플러스 (본동2-3)
33,목동2차우성 (신정5),양천구,1140,1998,32,20,20,11,11,양천구 목동2차우성 (신정5)
34,상도3쌍용,동작구,65,2004,33,5,5,11,11,동작구 상도3쌍용
35,신림SH-ville (신림7),관악구,150,2007,30,6,3,11,11,관악구 신림SH-ville (신림7)
36,래미안석관,성북구,80,2009,30,5,5,11,11,성북구 래미안석관
37,산천리버힐삼성 (산천삼성),용산구,363,2000,32,8,5,11,11,용산구 산천리버힐삼성 (산천삼성)
38,무악현대 (무악1),종로구,550,2000,32,10,10,11,11,종로구 무악현대 (무악1)
39,상월곡동아 (상월곡),성북구,278,2002,31,6,3,11,11,성북구 상월곡동아 (상월곡)
40,북한산힐스테이트3차 (불광3),은평구,147,2010,30,10,10,11,11,은평구 북한산힐스테이트3차 (불광3)
41,미아SH-ville (미아2),강북구,57,2007,30,6,3,11,11,강북구 미아SH-ville (미아2)
42,신공덕삼성,마포구,376,2000,32,6,6,11,11,마포구 신공덕삼성
43,하왕금호베스트빌 (하왕1-3),성동구,274,2001,32,5,5,11,11,성동구 하왕금호베스트빌 (하왕1-3)
44,봉천동아 (봉천2-2),관악구,829,1999,32,23,17,10,11,관악구 봉천동아 (봉천2-2)
45,하왕극동미라주 (하왕5),성동구,191,2002,32,7,5,10,11,성동구 하왕극동미라주 (하왕5)
46,본동SH-ville,동작구,176,2006,30,5,5,10,11,동작구 본동SH-ville
47,답십리두산 (답십리9),동대문구,310,2000,32,8,6,10,10,동대문구 답십리두산 (답십리9)
48,신길삼성 (신길2-3),영등포구,387,2001,32,14,10,10,10,영등포구 신길삼성 (신길2-3)
49,학여울청구B (하계2B),노원구,378,2001,32,15,10,10,10,노원구 학여울청구B (하계2B)
50,돈암삼성 (돈암3-2),성북구,736,1999,32,29,17,10,10,성북구 돈암삼성 (돈암3-2)
51,정릉풍림 (정릉4),성북구,332,2003,32,13,13,10,10,성북구 정릉풍림 (정릉4)
52,상도건영 (본동2-2),동작구,552,1997,32,23,10,10,10,동작구 상도건영 (본동2-2)
53,상계불암대림 (상계7),노원구,206,1999,33,13,8,10,10,노원구 상계불암대림 (상계7)
54,월곡두산,성북구,458,2003,30,12,12,9,10,성북구 월곡두산
55,답십리동아 (답십리8),동대문구,492,1999,31,16,10,9,10,동대문구 답십리동아 (답십리8)
56,종암SH-Ville,성북구,104,2007,30,14,10,9,9,성북구 종암SH-Ville
57,이문대림 (이문3),동대문구,181,2003,30,6,6,9,9,동대문구 이문대림 (이문3)
58,신공덕2삼성,마포구,103,2001,33,12,10,9,9,마포구 신공덕2삼성
59,돈암풍림 (돈암3-3),성북구,309,1999,32,10,10,9,9,성북구 돈암풍림 (돈암3-3)
60,길음뉴타운3단지,성북구,282,2005,30,13,13,9,9,성북구 길음뉴타운3단지
61,상도래미안1차 (상도2),동작구,164,2002,30,8,5,9,9,동작구 상도래미안1차 (상도2)
62,목동현대B,양천구,564,1996,32,12,12,9,9,양천구 목동현대B
63,공덕삼성 (공덕1),마포구,226,1999,32,8,8,9,9,마포구 공덕삼성 (공덕1)
64,관악벽산타운 (시흥2-1),금천구,564,1998,32,46,16,9,9,금천구 관악벽산타운 (시흥2-1)
65,이문쌍용,동대문구,245,2001,30,6,6,9,9,동대문구 이문쌍용
66,길음뉴타운4단지,성북구,276,2005,30,18,15,9,9,성북구 길음뉴타운4단지
67,사당신동아 (사당5),동작구,110,1999,32,8,8,8,9,동작구 사당신동아 (사당5)
68,미아벽산 (미아1-2),강북구,490,2002,32,23,23,8,8,강북구 미아벽산 (미아1-2)
69,오류동부골든 (오류1),구로구,304,1997,32,20,10,8,8,구로구 오류동부골든 (오류1)
70,봉천우성 (봉천7-1),관악구,717,2000,30,40,20,8,8,관악구 봉천우성 (봉천7-1)
71,수색대림 (수색2-1),은평구,464,2001,32,30,22,8,8,은평구 수색대림 (수색2-1)
72,동소문한진,성북구,580,1996,32,25,17,8,8,성북구 동소문한진
73,양지대림1 (중계4-1),노원구,468,1999,30,23,18,7,7,노원구 양지대림1 (중계4-1)
74,시흥벽산 (시흥1),금천구,1288,2002,32,60,52,7,7,금천구 시흥벽산 (시흥1)
75,상계동아불암 (상계3-1),노원구,434,2000,27,32,12,6,6,노원구 상계동아불암 (상계3-1)
76,한진해모로 (하왕1-2),중구,116,2000,27,8,5,6,6,중구 한진해모로 (하왕1-2)
77,냉천동부 (냉천),서대문구,76,2001,28,10,10,6,6,서대문구 냉천동부 (냉천)
78,상도삼호 (상도5),동작구,221,1994,32,15,15,6,6,동작구 상도삼호 (상도5)
79,북가좌삼호 (북가좌2),서대문구,267,1995,31,15,15,5,6,서대문구 북가좌삼호 (북가좌2)
80,도화현대2차,마포구,793,1998,27,29,22,5,5,마포구 도화현대2차
81,상계불암현대 (상계3-2),노원구,472,2000,27,30,18,5,5,노원구 상계불암현대 (상계3-2)
82,삼각산아이원 (미아5),강북구,673,2004,24,24,22,5,5,강북구 삼각산아이원 (미아5)
83,구로두산 (구로6),구로구,442,1999,27,30,17,5,5,구로구 구로두산 (구로6)
84,신정삼성 (신정6-2),양천구,506,1995,32,28,28,5,5,양천구 신정삼성 (신정6-2)
85,종암SK,성북구,465,1998,26,17,17,4,5,성북구 종암SK
86,신림동부 (신림5),관악구,96,1993,26,8,5,2,5,관악구 신림동부 (신림5)
